Time (sec), Avg. Response Time (us), Standard deviation (us)
914,6681.0,2607.13
915,6585.0,1725.79
916,6616.0,879.32
917,6553.0,891.89
918,6687.0,1632.79
919,6775.0,2099.64
920,6493.0,1288.36
921,6561.0,1414.07
922,7019.0,2645.95
923,6883.0,2267.07
924,6742.0,1722.0
925,6438.0,767.82
926,6648.0,1518.63
927,6396.0,798.21
928,6812.0,2282.65
929,6917.0,2299.13
930,6585.0,1576.78
931,6781.0,2365.68
932,6684.0,2041.53
933,6451.0,816.02
934,6766.0,2203.65
935,6907.0,2373.49
936,6700.0,2199.82
937,6480.0,830.24
938,6461.0,841.82
939,6410.0,825.56
940,6482.0,808.96
941,6539.0,852.25
942,6472.0,1540.25
943,6640.0,1675.35
944,6908.0,2434.81
945,6473.0,830.45
946,6552.0,858.47
947,6459.0,853.31
948,6433.0,789.06
949,6438.0,1198.63
950,6926.0,2404.06
951,6644.0,1601.71
952,6815.0,2416.46
953,7034.0,2497.35
954,6487.0,916.72
955,6411.0,771.81
956,6611.0,1433.94
957,6732.0,1839.69
958,6433.0,939.03
959,6621.0,1861.58
960,6845.0,2152.04
961,6878.0,2524.58
962,7011.0,2603.23
963,6799.0,2269.26
964,6528.0,871.92
965,6592.0,1304.74
966,6720.0,1691.83
967,6903.0,2089.71
968,6411.0,827.72
969,6446.0,808.48
970,6388.0,763.67
971,6574.0,843.79
972,6640.0,1697.39
973,6810.0,2344.65
974,6878.0,2458.05
975,6834.0,2161.0
976,6663.0,1364.08
977,6980.0,2474.01
978,6401.0,792.81
979,6461.0,791.66
980,6491.0,758.37
981,6597.0,2400.93
982,6471.0,887.84
983,6474.0,1422.46
984,6386.0,802.78
985,6472.0,775.66
986,6715.0,1746.89
987,6620.0,1455.66
988,6431.0,836.8
989,6787.0,2121.8
990,6439.0,783.54
991,6557.0,820.57
992,6808.0,1981.3
993,6704.0,1685.03
994,6738.0,1904.62
995,6408.0,828.08
996,6735.0,1706.02
997,6540.0,1143.98
998,6650.0,1987.73
999,6836.0,2136.96
1000,6589.0,1632.03
1001,6862.0,1657.97
1002,6453.0,834.3
1003,6459.0,859.66
1004,6796.0,2283.44
1005,6807.0,2044.04
1006,6642.0,1792.33
1007,6568.0,1363.67
1008,6593.0,1615.87
1009,6655.0,1639.52
1010,6430.0,762.76
1011,6836.0,1853.98
1012,6587.0,1400.57
1013,6535.0,954.78
1014,6836.0,1984.7
1015,6454.0,840.35
1016,6502.0,825.29
1017,6479.0,934.73
1018,6472.0,816.23
1019,6526.0,1047.04
1020,6544.0,1007.32
1021,6675.0,1531.78
1022,6557.0,1160.16
1023,6483.0,1348.43
1024,6434.0,783.19
1025,6444.0,776.76
1026,6488.0,832.44
1027,6477.0,846.06
1028,6615.0,1769.69
1029,6874.0,2481.29
1030,6985.0,2520.24
1031,6755.0,1782.26
1032,6804.0,2220.41
1033,6468.0,978.65
1034,6462.0,815.14
1035,6461.0,806.91
1036,6690.0,1746.37
1037,6791.0,1967.85
1038,6666.0,1821.64
1039,6604.0,1260.87
1040,6556.0,1188.22
1041,6814.0,2093.49
1042,6618.0,1488.26
1043,6811.0,2224.14
1044,6622.0,1445.23
1045,6447.0,800.51
1046,6501.0,848.26
1047,6456.0,834.86
1048,6473.0,836.54
1049,6486.0,1316.05
1050,6561.0,1267.74
1051,6575.0,1696.11
1052,7017.0,3132.68
1053,6876.0,2238.94
1054,6781.0,2064.24
1055,6418.0,765.49
1056,6547.0,826.94
1057,6881.0,2218.76
1058,6432.0,797.97
1059,6449.0,787.79
1060,6443.0,975.52
1061,6586.0,885.32
1062,6467.0,849.48
1063,6494.0,833.18
1064,6509.0,1236.34
1065,6417.0,818.21
1066,6716.0,2790.01
1067,6899.0,2314.11
1068,6743.0,1816.93
1069,6487.0,799.34
1070,6433.0,797.82
1071,6586.0,1138.49
1072,6611.0,1775.63
1073,6466.0,848.49
1074,6531.0,849.07
1075,6707.0,1970.71
1076,6578.0,1818.53
1077,6828.0,2107.89
1078,6843.0,2358.55
1079,6749.0,1935.23
1080,6413.0,778.58
1081,6695.0,1452.04
1082,6766.0,2144.26
1083,6751.0,1952.06
1084,6412.0,841.43
1085,6664.0,1681.46
1086,6683.0,1959.1
1087,6598.0,1550.63
1088,6597.0,1205.63
1089,6336.0,797.93
1090,6927.0,2510.62
1091,7015.0,2282.36
1092,6824.0,2182.85
1093,6753.0,1977.1
1094,6646.0,1451.54
1095,6883.0,2472.76
1096,6683.0,2405.95
1097,6650.0,2499.34
1098,6620.0,1831.86
1099,6453.0,810.38
1100,6651.0,1578.09
1101,6431.0,790.24
1102,6511.0,1016.83
1103,6558.0,1501.89
1104,6958.0,2429.54
1105,6654.0,1435.91
1106,6450.0,974.91
1107,6565.0,1453.46
1108,6474.0,907.16
1109,6555.0,857.77
1110,6521.0,849.77
1111,6559.0,880.17
1112,6545.0,1548.16
1113,6647.0,1605.76
1114,6593.0,821.86
1115,6571.0,1228.38
1116,6816.0,1696.99
1117,6617.0,1258.9
1118,6619.0,1801.55
1119,6577.0,994.81
1120,6670.0,918.51
1121,6600.0,1000.67
1122,6673.0,2497.25
1123,6741.0,2421.52
1124,6594.0,1833.45
1125,6636.0,1778.05
1126,6792.0,2110.08
1127,6726.0,2493.59
1128,6739.0,2347.85
1129,6575.0,1625.95
1130,6585.0,786.09
1131,6630.0,2445.28
