Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success, Threads Busy
get, 12576400, 11155000, 1412900, 1253701133322, 1253701134422, 1253712289422, 1253712290422, 1253713703322, 1253713709722, true, 47
get, 3351200, 2159500, 1184000, 1253713607422, 1253713608522, 1253715768022, 1253715769022, 1253716953022, 1253716958622, true, 47
set, 6815100, 5621200, 1081900, 1253714804122, 1253714870922, 1253720492122, 1253720493022, 1253721574922, 1253721619222, true, 0
get, 6004000, 2269700, 3718500, 1253722279622, 1253722280722, 1253724550422, 1253724551422, 1253728269922, 1253728283622, true, 47
get, 7552600, 6578400, 966400, 1253723593722, 1253723594822, 1253730173222, 1253730174222, 1253731140622, 1253731146322, true, 47
get, 3091400, 1824900, 1258900, 1253728581122, 1253728582222, 1253730407122, 1253730408122, 1253731667022, 1253731672522, true, 47
get, 2351800, 1198500, 1145400, 1253731606422, 1253731607522, 1253732806022, 1253732807022, 1253733952422, 1253733958222, true, 47
get, 21950800, 20522400, 1419300, 1253736708422, 1253736709622, 1253757232022, 1253757233222, 1253758652522, 1253758659222, true, 47
get, 14770600, 12670000, 1778000, 1253744769222, 1253744770422, 1253757440422, 1253757441422, 1253759219422, 1253759539822, true, 47
get, 11310700, 3662700, 7626600, 1253757409622, 1253757410722, 1253761073422, 1253761074522, 1253768701122, 1253768720322, true, 47
get, 9776600, 7574000, 2186700, 1253761197022, 1253761198122, 1253768772122, 1253768773222, 1253770959922, 1253770973622, true, 46
get, 10304200, 8045100, 2246000, 1253771301722, 1253771302822, 1253779347922, 1253779349322, 1253781595322, 1253781605922, true, 47
get, 2831700, 1545700, 1272300, 1253784291922, 1253784292922, 1253785838622, 1253785839822, 1253787112122, 1253787123622, true, 46
get, 5996700, 4540600, 1448300, 1253781455422, 1253781456522, 1253785997122, 1253785998122, 1253787446422, 1253787452122, true, 47
get, 25210100, 5051300, 20149300, 1253787745522, 1253787746622, 1253792797922, 1253792799022, 1253812948322, 1253812955622, true, 47
get, 1526900, 857500, 657700, 1253812028922, 1253812030022, 1253812887522, 1253812888822, 1253813546522, 1253813555822, true, 42
set, 25912300, 5055500, 20790200, 1253787739822, 1253787740922, 1253792796422, 1253792797522, 1253813587722, 1253813652122, true, 0
get, 17975800, 11099800, 6861000, 1253816744822, 1253816745922, 1253827845722, 1253827846822, 1253834707822, 1253834720622, true, 47
get, 11209100, 9538000, 1662100, 1253825422822, 1253825423922, 1253834961922, 1253834963422, 1253836625522, 1253836631922, true, 47
get, 10361100, 8562400, 1790000, 1253834992622, 1253834994122, 1253843556522, 1253843557622, 1253845347622, 1253845353722, true, 47
get, 4497000, 1724300, 2758200, 1253841814122, 1253841815522, 1253843539822, 1253843540922, 1253846299122, 1253846311122, true, 47
get, 10206800, 8907100, 1287700, 1253846615422, 1253846616522, 1253855523622, 1253855524722, 1253856812422, 1253856822222, true, 42
get, 9010500, 53500, 8947400, 1253857118422, 1253857119622, 1253857173122, 1253857174622, 1253866122022, 1253866128922, true, 47
get, 7497400, 6292100, 1184700, 1253863713822, 1253863714922, 1253870007022, 1253870008422, 1253871193122, 1253871211222, true, 47
set, 8456400, 4600, 8236600, 1253863648322, 1253863649422, 1253863654022, 1253863655122, 1253871891722, 1253872104722, true, 0
get, 7712300, 4779100, 2925800, 1253870105022, 1253870106122, 1253874885222, 1253874886222, 1253877812022, 1253877817322, true, 47
get, 12675100, 4630100, 8033400, 1253874621622, 1253874622722, 1253879252822, 1253879253922, 1253887287322, 1253887296722, true, 47
